item_id,contract_id,boq_reference,boq_section,line_number,material_id,description,unit_of_measure,quantity,unit_rate,amount,qty_executed,executed_pct,milestone_flag,milestone_description,item_status,variation_ref,retention_applicable,notes,created_date
CTR-2024-000655-BOQ-0001,CTR-2024-000655,12.4.1,General Requirements,1,MAT-00000282,Agent every development say.,NOS,229,89229.48,20433550.92,26,11.4,False,,DELETED,VO-028,True,Beautiful instead ahead despite measure ago current.,2021-08-10
CTR-2024-000655-BOQ-0002,CTR-2024-000655,12.10.2,General Requirements,2,MAT-00000518,Information last everything thank serve civil institution.,DRUM,28,4066.91,113873.48,22,78.6,False,,ACTIVE,,True,,2019-01-27
CTR-2024-000778-BOQ-0003,CTR-2024-000778,12.6.1,Concrete Works,1,MAT-00000433,Grow gas enough analysis.,NOS,285,13265.04,3780536.4,172,60.4,True,Choice whatever from behavior.,ACTIVE,,True,,2019-06-27
CTR-2024-000778-BOQ-0004,CTR-2024-000778,12.8.2,Concrete Works,2,MAT-00000748,Those gun court attorney product significant world talk.,MONTH,550,12083.21,6645765.5,387,70.4,True,Movie win her need stop.,ACTIVE,,False,,2021-02-26
CTR-2024-000778-BOQ-0005,CTR-2024-000778,12.2.3,Concrete Works,3,MAT-00000722,Herself law street class.,DAY,47,77365.89,3636196.83,18,38.3,False,,DELETED,,True,,2023-02-03
CTR-2024-000778-BOQ-0006,CTR-2024-000778,12.6.4,Concrete Works,4,MAT-00000167,Decide environment view possible participant commercial.,NOS,364,32995.22,12010260.08,136,37.4,False,,ACTIVE,VO-041,True,,2020-10-31
CTR-2024-000778-BOQ-0007,CTR-2024-000778,12.7.5,Concrete Works,5,MAT-00000474,Clear here writer policy news.,BBL,277,28.13,7792.01,112,40.4,False,,REVISED,,True,Successful simply director allow firm environment.,2022-07-16
CTR-2024-000778-BOQ-0008,CTR-2024-000778,12.5.6,Concrete Works,6,MAT-00000411,Tree note responsibility defense material.,MT,68,1932.86,131434.48,40,58.8,False,,ACTIVE,,True,,2020-07-25
CTR-2024-000778-BOQ-0009,CTR-2024-000778,12.9.7,Concrete Works,7,MAT-00000253,Central cause seat much section investment on.,JOINT,552,414.85,228997.2,438,79.3,False,,ACTIVE,,False,,2020-01-08
CTR-2024-000778-BOQ-0010,CTR-2024-000778,12.1.8,Concrete Works,8,MAT-00000774,Despite young meeting before another body.,SET,882,10446.79,9214068.78,642,72.8,False,,ACTIVE,,True,,2024-04-01
CTR-2024-000778-BOQ-0011,CTR-2024-000778,12.5.9,Concrete Works,9,MAT-00000542,Team activity result race Mr environment political.,KG,995,2383.64,2371721.8,965,97.0,True,Civil quite others his other life edge.,ACTIVE,,True,,2022-10-25
CTR-2024-000778-BOQ-0012,CTR-2024-000778,12.5.10,Concrete Works,10,MAT-00000115,Fall citizen about reveal.,SET,446,469.74,209504.04,1,0.2,False,,DELETED,,True,,2020-03-11
CTR-2024-000778-BOQ-0013,CTR-2024-000778,12.5.11,Concrete Works,11,MAT-00000892,Will seven medical blood personal.,CUM,862,278.08,239704.96,623,72.3,False,,ACTIVE,,False,,2019-01-03
CTR-2024-000778-BOQ-0014,CTR-2024-000778,12.6.12,Concrete Works,12,MAT-00000614,Participant check several much single morning a.,SET,501,29240.11,14649295.11,475,94.8,False,,ON_HOLD,,True,,2019-11-19
CTR-2024-000778-BOQ-0015,CTR-2024-000778,12.8.13,Concrete Works,13,MAT-00000088,Major born guy world southern dream.,NOS,836,346577.92,289739141.12,778,93.1,False,,ACTIVE,,False,,2024-12-01
CTR-2023-000894-BOQ-0016,CTR-2023-000894,4.9.1,Instrumentation,1,MAT-00000952,There water beat magazine attorney.,NOS,774,50627.08,39185359.92,205,26.5,False,,ACTIVE,,True,,2024-01-24
CTR-2023-000894-BOQ-0017,CTR-2023-000894,4.4.2,Instrumentation,2,MAT-00000124,She campaign little near enter their institution.,NOS,231,46463.42,10733050.02,5,2.2,False,,ACTIVE,,True,,2021-07-26
CTR-2023-000894-BOQ-0018,CTR-2023-000894,4.1.3,Instrumentation,3,MAT-00000070,Up sense ready require human.,NOS,881,18362.99,16177794.19,526,59.7,False,,ACTIVE,,True,,2024-04-20
CTR-2023-000894-BOQ-0019,CTR-2023-000894,4.8.4,Instrumentation,4,MAT-00000249,Network open according remain arrive attack all form.,SET,827,1416.69,1171602.63,96,11.6,True,Just military building different full.,ACTIVE,,True,,2020-02-08
