contract_id,contract_type,contract_status,vendor_id,project_id,contract_manager_id,scope_of_work,original_value,revised_value,revision_factor,variation_orders,currency,start_date,end_date,duration_months,retention_pct,performance_bond_pct,advance_payment_pct,liquidated_damages_pct,payment_terms,insurance_required,description,created_date
CTR-2024-000001,LUMP_SUM,COMPLETED,VND-000396,PRJ-2022-00229,EMP-000210,Painting & Coatings,2116070.16,2471993.16,1.1682,2,USD,2024-07-02,2024-10-30,4,0,5,10,0.5,MILESTONE,False,Agent every development say quality throughout beautiful.,2024-07-02
CTR-2024-000002,REMEASURE,APPROVED,VND-000990,PRJ-2019-00285,EMP-000012,Structural Steel Erection,816354.15,962808.08,1.1794,1,EUR,2024-06-09,2025-06-04,12,0,10,0,0.5,MONTHLY,True,All behavior discussion own night respond red information last everything thank.,2024-06-09
CTR-2021-000003,REMEASURE,COMPLETED,VND-000765,PRJ-2024-00550,EMP-000181,Engineering Design,2653878.75,3414480.4,1.2866,2,USD,2021-05-27,2024-12-07,43,10,10,30,1.0,MONTHLY,True,Recently future choice whatever from behavior benefit suggest.,2021-05-27
CTR-2020-000004,COST_PLUS,TERMINATED,VND-000373,PRJ-2024-00888,EMP-000154,Insulation Works,9865405.33,9767737.82,0.9901,0,EUR,2020-06-06,2022-07-26,26,5,5,15,0.5,MILESTONE,True,Enough analysis least by two bad fall pick those gun court attorney product.,2020-06-06
CTR-2020-000005,LUMP_SUM,ACTIVE,VND-000933,PRJ-2022-00225,EMP-000570,Catering & Camp Services,706988.68,863515.97,1.2214,0,USD,2020-01-26,2021-12-16,23,5,10,0,1.0,PROGRESS,True,World talk term herself law street class great prove.,2020-01-26
CTR-2022-000006,LUMP_SUM,COMPLETED,VND-000764,PRJ-2019-00147,EMP-000436,Electrical & Instrumentation,707006.09,614953.9,0.8698,0,USD,2022-12-19,2025-06-06,30,10,15,15,1.0,COMPLETION,True,Participant commercial rock clear here writer.,2022-12-19
CTR-2019-000007,TURNKEY,APPROVED,VND-000254,PRJ-2020-00812,EMP-000718,Scaffolding Services,10732844.99,11786810.37,1.0982,1,USD,2019-08-17,2021-03-09,19,10,0,0,2.0,PROGRESS,True,Detail food shoulder argue start source husband at tree note responsibility defense material.,2019-08-17
CTR-2022-000008,LUMP_SUM,DRAFT,VND-000426,PRJ-2020-00996,EMP-000834,Scaffolding Services,3176060.32,3750927.24,1.181,2,SAR,2022-11-10,2027-06-17,56,10,5,10,2.0,MILESTONE,True,Central cause seat much section investment on gun young catch management.,2022-11-10
CTR-2023-000009,TURNKEY,SUSPENDED,VND-000815,PRJ-2024-00020,EMP-000168,Electrical & Instrumentation,496723.31,628106.63,1.2645,1,USD,2023-04-19,2023-12-15,8,0,15,0,1.0,COMPLETION,False,Technology check civil quite others his.,2023-04-19
CTR-2020-000010,LUMP_SUM,COMPLETED,VND-000705,PRJ-2020-00988,EMP-000343,Mechanical Installation,2266710.15,2866254.98,1.2645,1,EUR,2020-07-22,2024-03-03,44,5,15,30,5.0,MILESTONE,True,You more wife team activity result race Mr environment political born itself law.,2020-07-22
CTR-2021-000011,LUMP_SUM,ACTIVE,VND-000989,PRJ-2023-00226,EMP-000012,Piping & Fabrication,501256.62,418799.91,0.8355,0,USD,2021-01-28,2023-01-18,24,0,5,15,5.0,MILESTONE,False,Will seven medical blood personal success medical current hear.,2021-01-28
CTR-2023-000012,REMEASURE,ACTIVE,VND-000786,PRJ-2019-00827,EMP-000699,Structural Steel Erection,499521.23,447171.41,0.8952,0,EUR,2023-06-14,2025-10-31,29,5,0,0,0.5,PROGRESS,False,Much single morning a food affect upon these.,2023-06-14
