movement_id,material_id,project_id,grn_id,movement_type,quantity,unit_of_measure,unit_cost,total_value,from_location,to_location,batch_number,reason_code,movement_date,posted_by,approved_by,remarks,created_date
INV-MOV-00000001,MAT-00000655,PRJ-2024-00115,GRN-2020-0000251,RECEIPT,141,SET,51940.44,7323602.04,SITE-B-WAREHOUSE-SEC-02,,,TRANSFER_IN,2024-02-22,Allison Hill,,Cause bill scientist.,2024-02-22
INV-MOV-00000002,MAT-00000433,PRJ-2020-00033,GRN-2023-0000239,RECEIPT,112,NOS,13354.68,1495724.16,SITE-E-WAREHOUSE-SEC-05,,BATCH-81BF960,TRANSFER_IN,2019-10-15,Jonathan Johnson,,,2019-10-15
INV-MOV-00000003,MAT-00000430,PRJ-2023-00226,,ISSUE,-143,SET,1125.26,-160912.18,SITE-A-WAREHOUSE-SEC-02,,BATCH-38LR637,PROJECT_CONSUMPTION,2024-08-04,Abigail Shaffer,,,2024-08-04
INV-MOV-00000004,MAT-00000782,PRJ-2022-00345,GRN-2024-0000100,RECEIPT,195,SQM,96.7,18856.5,SITE-C-WAREHOUSE-SEC-03,,,TRANSFER_IN,2023-05-16,Gina Moore,,,2023-05-16
INV-MOV-00000005,MAT-00000128,PRJ-2024-00997,,ADJUSTMENT,-41,BAG,115.99,-4755.59,SITE-E-WAREHOUSE-SEC-03,,,STOCK_COUNT,2023-04-09,Gabrielle Davis,Ryan Munoz,,2023-04-09
INV-MOV-00000006,MAT-00000792,PRJ-2019-00297,,WRITEOFF,-438,MT,785.59,-344088.42,SITE-B-WAREHOUSE-SEC-01,,,OBSOLETE,2022-05-23,Monica Herrera,Jamie Arnold,,2022-05-23
INV-MOV-00000007,MAT-00000364,PRJ-2024-00215,,RETURN,360,NOS,2130.14,766850.4,SITE-A-WAREHOUSE-SEC-05,,,EXCESS_MATERIAL,2024-03-28,Lisa Hensley,,,2024-03-28
INV-MOV-00000008,MAT-00000389,PRJ-2021-00277,,WRITEOFF,-328,CUM,422.71,-138648.88,SITE-E-WAREHOUSE-SEC-02,,,EXPIRED,2024-06-15,Michele Williams,Dylan Miller,,2024-06-15
INV-MOV-00000009,MAT-00000033,PRJ-2019-00825,,ISSUE,-138,KG,218.31,-30126.78,SITE-A-WAREHOUSE-SEC-02,,BATCH-31OX647,MAINTENANCE,2023-06-11,Henry Santiago,,,2023-06-11
INV-MOV-00000010,MAT-00000937,PRJ-2024-00659,,ISSUE,-136,RM,39020.45,-5306781.2,SITE-B-WAREHOUSE-SEC-02,,,PRODUCTION,2024-10-14,Melinda Jones,,,2024-10-14
INV-MOV-00000011,MAT-00000920,PRJ-2020-00598,,ISSUE,-113,BAG,299.22,-33811.86,SITE-B-WAREHOUSE-SEC-05,,,PROJECT_CONSUMPTION,2022-02-16,Kimberly Sanchez,,,2022-02-16
INV-MOV-00000012,MAT-00000164,PRJ-2020-00812,,RETURN,306,SET,19872.6,6081015.6,SITE-A-WAREHOUSE-SEC-04,,,WRONG_DELIVERY,2022-11-02,Devin Schaefer,,,2022-11-02
INV-MOV-00000013,MAT-00000567,PRJ-2020-00882,,ADJUSTMENT,-349,SET,23298.03,-8131012.47,SITE-E-WAREHOUSE-SEC-03,,BATCH-83CZ503,SYSTEM_CORRECTION,2025-11-25,Derek Clark,Sherri Edwards,,2025-11-25
INV-MOV-00000014,MAT-00000465,PRJ-2023-00004,,WRITEOFF,-449,NOS,998.36,-448263.64,SITE-C-WAREHOUSE-SEC-05,,,EXPIRED,2025-04-02,Jennifer Rocha,Derek Wright,,2025-04-02
INV-MOV-00000015,MAT-00000306,PRJ-2022-00862,,ISSUE,-312,KG,2280.32,-711459.84,SITE-B-WAREHOUSE-SEC-02,,,PRODUCTION,2021-03-24,Deborah Richards,,,2021-03-24
INV-MOV-00000016,MAT-00000614,PRJ-2022-00332,,ISSUE,-58,SET,32072.57,-1860209.06,SITE-C-WAREHOUSE-SEC-03,,BATCH-96GF532,PRODUCTION,2020-01-30,Anthony Rodriguez,,,2020-01-30
INV-MOV-00000017,MAT-00000088,PRJ-2022-00750,,ISSUE,-36,NOS,368101.75,-13251663.0,SITE-E-WAREHOUSE-SEC-02,,,PRODUCTION,2020-12-03,Rebecca Henderson,,,2020-12-03
INV-MOV-00000018,MAT-00000541,PRJ-2022-00894,,ISSUE,-494,JOINT,756.49,-373706.06,SITE-B-WAREHOUSE-SEC-05,,BATCH-16HQ697,MAINTENANCE,2025-12-20,Shannon Smith,,,2025-12-20
INV-MOV-00000019,MAT-00000688,PRJ-2024-00666,,ISSUE,-461,KG,2673.4,-1232437.4,SITE-E-WAREHOUSE-SEC-04,,BATCH-18SB451,MAINTENANCE,2019-05-07,Aaron Bowen,,Will seven medical.,2019-05-07
INV-MOV-00000020,MAT-00000568,PRJ-2021-00236,,ISSUE,-4,SET,1800.77,-7203.08,SITE-A-WAREHOUSE-SEC-06,,BATCH-14JX893,PROJECT_CONSUMPTION,2024-01-31,Kimberly Osborne,,,2024-01-31
INV-MOV-00000021,MAT-00000073,PRJ-2022-00527,GRN-2023-0000498,RECEIPT,343,DRUM,3276.6,1123873.8,SITE-B-WAREHOUSE-SEC-05,,,PO_DELIVERY,2020-10-19,April Nguyen,,,2020-10-19
INV-MOV-00000022,MAT-00000827,PRJ-2022-00417,GRN-2019-0000675,RECEIPT,50,NOS,306081.13,15304056.5,SITE-D-WAREHOUSE-SEC-03,,,TRANSFER_IN,2022-07-30,Timothy Koch,,Dream drive note.,2022-07-30
INV-MOV-00000023,MAT-00000670,PRJ-2020-00662,GRN-2025-0000746,RECEIPT,207,KG,2894.95,599254.65,SITE-C-WAREHOUSE-SEC-01,,BATCH-11XI718,RETURN_FROM_SITE,2020-04-08,John Pierce,,,2020-04-08
INV-MOV-00000024,MAT-00000188,PRJ-2024-00286,,ISSUE,-448,SET,202894.85,-90896892.8,SITE-A-WAREHOUSE-SEC-04,,BATCH-48IW963,PRODUCTION,2025-10-09,Christina Collins,,,2025-10-09
INV-MOV-00000025,MAT-00000857,PRJ-2019-00016,,WRITEOFF,-475,NOS,165846.55,-78777111.25,SITE-B-WAREHOUSE-SEC-02,,,THEFT,2022-09-06,Marie Kim DDS,Danny Morgan,,2022-09-06
INV-MOV-00000026,MAT-00000169,PRJ-2023-00389,GRN-2021-0000272,RECEIPT,200,CUM,39.34,7868.0,SITE-D-WAREHOUSE-SEC-03,,,TRANSFER_IN,2022-12-23,Crystal Robinson,,,2022-12-23
INV-MOV-00000027,MAT-00000499,PRJ-2022-00159,GRN-2024-0000992,RECEIPT,112,MONTH,354023.13,39650590.56,SITE-A-WAREHOUSE-SEC-05,,BATCH-10VE310,RETURN_FROM_SITE,2024-10-04,Diana Washington,,Car very number line six.,2024-10-04
INV-MOV-00000028,MAT-00000599,PRJ-2021-00489,,ISSUE,-437,BAG,387.48,-169328.76,SITE-E-WAREHOUSE-SEC-02,,BATCH-63WB116,PROJECT_CONSUMPTION,2019-09-18,Scott Brown,,Art rock.,2019-09-18
INV-MOV-00000029,MAT-00000070,PRJ-2021-00692,,ADJUSTMENT,207,NOS,16720.12,3461064.84,SITE-E-WAREHOUSE-SEC-02,,BATCH-13CI338,STOCK_COUNT,2023-11-01,Donald Wright,Jessica Callahan,,2023-11-01
INV-MOV-00000030,MAT-00000598,PRJ-2023-00579,,ISSUE,-479,CUM,468.3,-224315.7,SITE-C-WAREHOUSE-SEC-02,,BATCH-81FW080,MAINTENANCE,2024-06-09,Carol Tucker,,,2024-06-09
INV-MOV-00000031,MAT-00000661,PRJ-2024-00308,,ISSUE,-476,SET,53903.5,-25658066.0,SITE-A-WAREHOUSE-SEC-01,,,PROJECT_CONSUMPTION,2022-11-15,James Brown,,Able hospital unit size.,2022-11-15
INV-MOV-00000032,MAT-00000219,PRJ-2021-00519,GRN-2022-0000358,RECEIPT,478,SQM,111.77,53426.06,SITE-A-WAREHOUSE-SEC-02,,BATCH-46MS872,TRANSFER_IN,2021-05-26,Anthony Fitzgerald,,,2021-05-26
INV-MOV-00000033,MAT-00000627,PRJ-2019-00827,,RETURN,5,RM,560.14,2800.7,SITE-E-WAREHOUSE-SEC-03,,,EXCESS_MATERIAL,2024-02-23,Erik Williams,,,2024-02-23
INV-MOV-00000034,MAT-00000912,PRJ-2022-00110,,TRANSFER,80,SET,35856.22,2868497.6,SITE-E-WAREHOUSE-SEC-02,SITE-C-WAREHOUSE-SEC-02,,BUFFER_STOCK,2024-11-20,Thomas Schmidt,,,2024-11-20
INV-MOV-00000035,MAT-00000928,PRJ-2020-00930,,TRANSFER,-48,MT,2376.19,-114057.12,SITE-C-WAREHOUSE-SEC-01,SITE-A-WAREHOUSE-SEC-03,,WAREHOUSE_REORG,2025-03-08,Jordan York,,,2025-03-08
INV-MOV-00000036,MAT-00000453,PRJ-2020-00565,,RETURN,288,BAG,322.1,92764.8,SITE-A-WAREHOUSE-SEC-01,,,WRONG_DELIVERY,2019-12-20,Barry Hensley,,Build three east organization.,2019-12-20
INV-MOV-00000037,MAT-00000379,PRJ-2020-00597,,ISSUE,-221,PKT,142.18,-31421.78,SITE-B-WAREHOUSE-SEC-01,,,PROJECT_CONSUMPTION,2021-07-06,Jennifer Silva,,,2021-07-06
INV-MOV-00000038,MAT-00000216,PRJ-2020-00699,GRN-2019-0000363,RECEIPT,53,CUM,166.34,8816.02,SITE-E-WAREHOUSE-SEC-04,,,PO_DELIVERY,2023-03-21,Taylor Harris,,,2023-03-21
INV-MOV-00000039,MAT-00001000,PRJ-2022-00820,,TRANSFER,452,JOINT,281.47,127224.44,SITE-B-WAREHOUSE-SEC-06,SITE-D-WAREHOUSE-SEC-04,,SITE_TRANSFER,2025-12-09,Cynthia Foster,,,2025-12-09
INV-MOV-00000040,MAT-00000807,PRJ-2020-00719,GRN-2022-0000040,RECEIPT,447,MT,2117.11,946348.17,SITE-D-WAREHOUSE-SEC-02,,BATCH-47DN510,PO_DELIVERY,2020-08-23,Dr. Angel Lewis MD,,,2020-08-23
INV-MOV-00000041,MAT-00000676,PRJ-2019-00198,,ISSUE,-143,NOS,3954.13,-565440.59,SITE-A-WAREHOUSE-SEC-03,,,PRODUCTION,2021-11-25,Shirley Suarez,,,2021-11-25
INV-MOV-00000042,MAT-00000550,PRJ-2023-00340,,ADJUSTMENT,-60,JOINT,716.87,-43012.2,SITE-C-WAREHOUSE-SEC-02,,BATCH-54TT278,QUALITY_HOLD,2023-05-16,Victoria Valdez,Robert Evans,,2023-05-16
INV-MOV-00000043,MAT-00000747,PRJ-2020-00806,,ISSUE,-311,NOS,57234.05,-17799789.55,SITE-E-WAREHOUSE-SEC-01,,BATCH-12VJ411,PROJECT_CONSUMPTION,2022-10-23,Douglas Clark,,,2022-10-23
INV-MOV-00000044,MAT-00000002,PRJ-2021-00533,,ADJUSTMENT,-276,RM,1402.32,-387040.32,SITE-B-WAREHOUSE-SEC-03,,,SYSTEM_CORRECTION,2022-02-05,Michael Farrell,Danielle Odonnell,,2022-02-05
INV-MOV-00000045,MAT-00000680,PRJ-2019-00869,GRN-2024-0000308,RECEIPT,461,KG,2948.83,1359410.63,SITE-E-WAREHOUSE-SEC-03,,BATCH-01AV640,TRANSFER_IN,2024-07-28,Mandy Green,,,2024-07-28
INV-MOV-00000046,MAT-00000131,PRJ-2019-00197,,ISSUE,-482,SET,8736.39,-4210939.98,SITE-D-WAREHOUSE-SEC-06,,,MAINTENANCE,2024-03-30,Kristen Patterson,,,2024-03-30
INV-MOV-00000047,MAT-00000854,PRJ-2020-00001,,ISSUE,-108,RM,1591.75,-171909.0,SITE-D-WAREHOUSE-SEC-05,,BATCH-01CX128,MAINTENANCE,2023-12-02,Brittany Anderson,,,2023-12-02
INV-MOV-00000048,MAT-00000219,PRJ-2020-00524,,ISSUE,-462,SQM,111.77,-51637.74,SITE-B-WAREHOUSE-SEC-06,,,PRODUCTION,2019-05-26,Steven Flynn,,,2019-05-26
INV-MOV-00000049,MAT-00000096,PRJ-2022-00839,,WRITEOFF,-121,SET,77341.59,-9358332.39,SITE-C-WAREHOUSE-SEC-02,,BATCH-05WX331,EXPIRED,2025-04-12,Shelly Dickson,Tammy Young,,2025-04-12
INV-MOV-00000050,MAT-00000487,PRJ-2022-00626,,TRANSFER,38,DAY,2441.47,92775.86,SITE-E-WAREHOUSE-SEC-02,SITE-D-WAREHOUSE-SEC-04,BATCH-22VV602,BUFFER_STOCK,2022-05-05,Jennifer Santiago,,Environment skin blue.,2022-05-05
INV-MOV-00000051,MAT-00000769,PRJ-2020-00882,,TRANSFER,-55,KG,2261.19,-124365.45,SITE-B-WAREHOUSE-SEC-02,SITE-E-WAREHOUSE-SEC-01,,SITE_TRANSFER,2023-05-08,Shannon Walker,,,2023-05-08
INV-MOV-00000052,MAT-00000821,PRJ-2024-00476,,RETURN,287,RM,74834.95,21477630.65,SITE-E-WAREHOUSE-SEC-03,,,WRONG_DELIVERY,2025-08-15,Julia Torres,,,2025-08-15
INV-MOV-00000053,MAT-00000437,PRJ-2024-00851,,ADJUSTMENT,-229,NOS,58699.64,-13442217.56,SITE-D-WAREHOUSE-SEC-04,,,SYSTEM_CORRECTION,2021-05-07,Crystal Johnson,Garrett Lin,,2021-05-07
INV-MOV-00000054,MAT-00000534,PRJ-2023-00497,,ISSUE,-141,KG,569.55,-80306.55,SITE-D-WAREHOUSE-SEC-01,,BATCH-45VB868,MAINTENANCE,2024-05-26,Wesley White,,,2024-05-26
INV-MOV-00000055,MAT-00000554,PRJ-2021-00083,GRN-2025-0000393,RECEIPT,119,BOX,707.53,84196.07,SITE-B-WAREHOUSE-SEC-06,,,RETURN_FROM_SITE,2020-02-02,Deborah Rodriguez,,,2020-02-02
INV-MOV-00000056,MAT-00000426,PRJ-2020-00064,GRN-2020-0000399,RECEIPT,216,SET,8197.77,1770718.32,SITE-E-WAREHOUSE-SEC-06,,BATCH-65GH569,PO_DELIVERY,2019-10-22,Kenneth Scott,,,2019-10-22
INV-MOV-00000057,MAT-00000306,PRJ-2023-00772,,ISSUE,-457,KG,2280.32,-1042106.24,SITE-D-WAREHOUSE-SEC-05,,,PROJECT_CONSUMPTION,2024-10-06,April Frost,,,2024-10-06
INV-MOV-00000058,MAT-00000280,PRJ-2024-00447,,ISSUE,-200,NOS,77623.71,-15524742.0,SITE-C-WAREHOUSE-SEC-06,,,MAINTENANCE,2024-07-26,Michelle Harmon,,,2024-07-26
INV-MOV-00000059,MAT-00000638,PRJ-2019-00547,GRN-2020-0000607,RECEIPT,202,CUM,95.63,19317.26,SITE-E-WAREHOUSE-SEC-06,,,PO_DELIVERY,2019-02-12,Helen Jones,,,2019-02-12
INV-MOV-00000060,MAT-00000187,PRJ-2022-00052,GRN-2025-0000217,RECEIPT,168,MT,2101.49,353050.32,SITE-D-WAREHOUSE-SEC-03,,BATCH-59GT514,RETURN_FROM_SITE,2021-07-14,Erika Terry,,,2021-07-14
INV-MOV-00000061,MAT-00000084,PRJ-2021-00482,GRN-2025-0000054,RECEIPT,277,BOX,19.27,5337.79,SITE-C-WAREHOUSE-SEC-02,,,TRANSFER_IN,2024-02-05,Cheryl Ortega,,Quality total past feeling.,2024-02-05
INV-MOV-00000062,MAT-00000032,PRJ-2023-00973,GRN-2023-0000021,RECEIPT,430,MT,2625.73,1129063.9,SITE-E-WAREHOUSE-SEC-02,,,PO_DELIVERY,2020-03-05,April Mitchell,,,2020-03-05
INV-MOV-00000063,MAT-00000224,PRJ-2023-00477,,RETURN,393,NOS,223664.0,87899952.0,SITE-C-WAREHOUSE-SEC-02,,,WRONG_DELIVERY,2023-11-07,Kevin Pena,,,2023-11-07
INV-MOV-00000064,MAT-00000839,PRJ-2021-00168,,WRITEOFF,-56,RM,745.1,-41725.6,SITE-E-WAREHOUSE-SEC-01,,,THEFT,2021-10-22,Jeremy Lewis,Steven Flynn,,2021-10-22
INV-MOV-00000065,MAT-00000733,PRJ-2020-00204,GRN-2020-0000851,RECEIPT,354,SET,22663.6,8022914.4,SITE-B-WAREHOUSE-SEC-01,,,TRANSFER_IN,2024-06-03,Bradley Robertson,,,2024-06-03
INV-MOV-00000066,MAT-00000816,PRJ-2020-00580,,TRANSFER,-178,LTR,178.39,-31753.42,SITE-C-WAREHOUSE-SEC-01,SITE-D-WAREHOUSE-SEC-01,,SITE_TRANSFER,2025-08-04,Frances Cardenas,,,2025-08-04
INV-MOV-00000067,MAT-00000371,PRJ-2022-00651,,ADJUSTMENT,-236,NOS,1832.2,-432399.2,SITE-D-WAREHOUSE-SEC-02,,,SYSTEM_CORRECTION,2024-09-24,Megan Walker,Alexander Sanchez,,2024-09-24
INV-MOV-00000068,MAT-00000942,PRJ-2024-00552,,TRANSFER,239,RM,80.8,19311.2,SITE-E-WAREHOUSE-SEC-03,SITE-C-WAREHOUSE-SEC-02,BATCH-79OK176,WAREHOUSE_REORG,2025-02-14,Michael Snyder,,,2025-02-14
INV-MOV-00000069,MAT-00000476,PRJ-2021-00584,,ISSUE,-195,NOS,60329.96,-11764342.2,SITE-C-WAREHOUSE-SEC-01,,BATCH-32OL016,PROJECT_CONSUMPTION,2022-06-16,Melissa Marshall,,,2022-06-16
INV-MOV-00000070,MAT-00000265,PRJ-2023-00349,GRN-2021-0000719,RECEIPT,306,BAG,231.2,70747.2,SITE-C-WAREHOUSE-SEC-05,,,PO_DELIVERY,2019-09-22,Sylvia Martinez,,,2019-09-22
INV-MOV-00000071,MAT-00000417,PRJ-2020-00501,,ISSUE,-124,NOS,4362.59,-540961.16,SITE-D-WAREHOUSE-SEC-06,,,PROJECT_CONSUMPTION,2024-09-08,John Schmidt,,Other wear through partner rest.,2024-09-08
INV-MOV-00000072,MAT-00000227,PRJ-2024-00415,,RETURN,157,RM,737.2,115740.4,SITE-E-WAREHOUSE-SEC-03,,,DEFECTIVE,2022-10-11,Sandra Kelley,,,2022-10-11
INV-MOV-00000073,MAT-00000564,PRJ-2024-00339,,ISSUE,-233,NOS,59289.74,-13814509.42,SITE-C-WAREHOUSE-SEC-03,,BATCH-27OR743,PROJECT_CONSUMPTION,2021-04-29,Kelly Sims,,,2021-04-29
INV-MOV-00000074,MAT-00000761,PRJ-2024-00549,,WRITEOFF,-354,MT,18.47,-6538.38,SITE-B-WAREHOUSE-SEC-02,,BATCH-47RV143,OBSOLETE,2020-09-04,Joshua Taylor,Michael Mccarthy,,2020-09-04
INV-MOV-00000075,MAT-00000853,PRJ-2024-00199,GRN-2022-0000184,RECEIPT,185,GAL,71.8,13283.0,SITE-C-WAREHOUSE-SEC-01,,BATCH-16DA658,PO_DELIVERY,2024-09-30,Ross Price,,,2024-09-30
INV-MOV-00000076,MAT-00000567,PRJ-2022-00300,,RETURN,65,SET,23298.03,1514371.95,SITE-D-WAREHOUSE-SEC-01,,,DEFECTIVE,2025-01-07,Theresa Smith,,,2025-01-07
INV-MOV-00000077,MAT-00000349,PRJ-2024-00189,,WRITEOFF,-130,MT,94.8,-12324.0,SITE-D-WAREHOUSE-SEC-01,,,EXPIRED,2025-02-03,Laura Woods,Elizabeth Price,,2025-02-03
INV-MOV-00000078,MAT-00000703,PRJ-2023-00055,GRN-2021-0000577,RECEIPT,416,LTR,107.51,44724.16,SITE-C-WAREHOUSE-SEC-01,,,RETURN_FROM_SITE,2020-03-01,Sara Medina,,,2020-03-01
INV-MOV-00000079,MAT-00000810,PRJ-2019-00634,GRN-2023-0000390,RECEIPT,268,NOS,2445.58,655415.44,SITE-D-WAREHOUSE-SEC-04,,,RETURN_FROM_SITE,2021-10-29,Rebecca Hurst,,,2021-10-29
INV-MOV-00000080,MAT-00000062,PRJ-2020-00625,,WRITEOFF,-51,PKT,253.27,-12916.77,SITE-B-WAREHOUSE-SEC-06,,,DAMAGED,2020-05-15,Don Tucker MD,Rebecca Ramsey,,2020-05-15
INV-MOV-00000081,MAT-00000566,PRJ-2023-00077,GRN-2022-0000462,RECEIPT,210,NOS,67369.32,14147557.2,SITE-E-WAREHOUSE-SEC-04,,BATCH-72ZL980,TRANSFER_IN,2021-01-17,Alyssa Day,,,2021-01-17
INV-MOV-00000082,MAT-00000881,PRJ-2020-00465,GRN-2020-0000947,RECEIPT,120,JOINT,751.08,90129.6,SITE-C-WAREHOUSE-SEC-06,,,PO_DELIVERY,2023-12-05,Joel Williams,,,2023-12-05
INV-MOV-00000083,MAT-00000558,PRJ-2023-00231,,ISSUE,-466,CUM,194.05,-90427.3,SITE-C-WAREHOUSE-SEC-02,,BATCH-65VW375,MAINTENANCE,2019-01-31,Diana Bean,,,2019-01-31
