invoice_id,vendor_id,po_id,contract_id,project_id,invoice_type,invoice_status,invoice_date,due_date,gross_amount,tax_rate,tax_amount,retention_pct,retention_amount,net_amount,currency,payment_term,early_payment_discount,paid_date,paid_amount,approved_by,approval_date,invoice_ref,description,created_date
INV-2024-0000001,VND-000251,PO-2021-0000755,,PRJ-2022-00229,MATERIAL,PAID,2024-12-12,2025-03-12,207953.8,0.0,0.0,0.0,0.0,207953.8,USD,NET30,4159.08,2024-12-17,203794.72,EMP-000243,2024-12-13,INV-REF-PO104IV,Quality throughout beautiful instead.,2024-12-12
INV-2019-0000002,VND-000028,PO-2019-0000734,,PRJ-2022-00575,MATERIAL,PAID,2019-12-26,2020-03-25,80226.05,0.15,12033.91,0.0,0.0,92259.96,SAR,NET90,0.0,2020-03-11,92259.96,EMP-000343,2019-12-31,INV-REF-OG013MB,Current practice nation determine operation speak according.,2019-12-26
INV-2025-0000003,VND-000164,,CTR-2023-000349,PRJ-2021-00715,PROGRESS,PAID,2025-04-21,2025-06-05,260806.18,0.05,13040.31,0.05,13040.31,260806.18,SAR,NET30,5216.12,2025-04-28,255590.06,EMP-000712,2025-04-27,INV-REF-RJ265NW,Bill here grow gas enough analysis.,2025-04-21
INV-2025-0000004,VND-000045,PO-2019-0000550,,PRJ-2020-00748,MATERIAL,APPROVED,2025-07-13,2025-07-28,969508.76,0.0,0.0,0.0,0.0,969508.76,SAR,IMMEDIATE,0.0,,,EMP-000768,2025-07-24,INV-REF-YF781JS,Peace technology officer relate animal direction eye bag.,2025-07-13
INV-2023-0000005,VND-000197,,CTR-2024-000047,PRJ-2022-00722,PROGRESS,APPROVED,2023-05-29,2023-06-13,69478.31,0.15,10421.75,0.05,3473.92,76426.14,GBP,NET45,0.0,,,EMP-000120,2023-06-05,INV-REF-RD316OX,Have decide environment view.,2023-05-29
INV-2021-0000006,VND-000167,PO-2023-0000274,,PRJ-2020-00380,SERVICE,PARTIALLY_PAID,2021-12-16,2021-12-31,69480.02,0.15,10422.0,0.0,0.0,79902.02,USD,IMMEDIATE,1389.6,2021-12-25,53099.96,EMP-000614,2021-12-19,INV-REF-IU192PK,Here writer policy news range successful simply.,2021-12-16
INV-2022-0000007,VND-000656,PO-2020-0000225,,PRJ-2020-00705,MATERIAL,ON_HOLD,2022-06-16,2022-07-01,1054755.16,0.15,158213.27,0.0,0.0,1212968.43,EUR,NET45,0.0,,,,,INV-REF-ZR305EN,Then fire pretty how trip learn enter.,2022-06-16
INV-2025-0000008,VND-000217,PO-2022-0000898,,PRJ-2020-00936,MATERIAL,APPROVED,2025-06-11,2025-07-11,312122.84,0.15,46818.43,0.0,0.0,358941.27,SAR,NET15,0.0,,,EMP-000945,2025-06-22,INV-REF-QV388LB,Human despite young meeting before another body physical.,2025-06-11
INV-2022-0000009,VND-000763,PO-2019-0000270,,PRJ-2022-00575,MATERIAL,UNDER_REVIEW,2022-10-27,2022-12-26,48814.78,0.15,7322.22,0.0,0.0,56137.0,SAR,IMMEDIATE,0.0,,,,,INV-REF-YY691MD,Edge network wall quite boy those seem.,2022-10-27
INV-2020-0000010,VND-000506,PO-2021-0000882,,PRJ-2024-00094,ADVANCE,UNDER_REVIEW,2020-03-19,2020-04-18,222757.73,0.0,0.0,0.0,0.0,222757.73,SAR,NET15,0.0,,,,,INV-REF-BK514DA,Will seven medical blood personal.,2020-03-19
INV-2019-0000011,VND-000480,PO-2019-0000995,,PRJ-2021-00542,MATERIAL,PAID,2019-01-06,2019-01-21,49260.29,0.15,7389.04,0.0,0.0,56649.33,GBP,NET15,0.0,2019-01-19,56649.33,EMP-000456,2019-01-11,INV-REF-JX893WK,Well two truth out major born guy.,2019-01-06
INV-2025-0000012,VND-000446,,CTR-2020-000004,PRJ-2023-00162,PROGRESS,UNDER_REVIEW,2025-09-14,2025-10-14,49089.74,0.15,7363.46,0.1,4908.97,51544.23,AED,IMMEDIATE,0.0,,,,,INV-REF-PK430FF,Staff within mouth call process water close.,2025-09-14
INV-2025-0000013,VND-000520,,CTR-2019-000157,PRJ-2021-00624,PROGRESS,PARTIALLY_PAID,2025-10-04,2026-01-02,141909.3,0.05,7095.47,0.05,7095.47,141909.3,USD,NET30,0.0,2025-12-06,43954.76,EMP-000343,2025-10-10,INV-REF-NI896WU,Require human public health tonight.,2025-10-04
INV-2025-0000014,VND-000247,,CTR-2020-000970,PRJ-2021-00900,PROGRESS,APPROVED,2025-09-06,2025-09-21,5597.52,0.0,0.0,0.05,279.88,5317.64,EUR,IMMEDIATE,0.0,,,EMP-000945,2025-09-09,INV-REF-OE713VB,Network open according remain arrive attack all form.,2025-09-06
INV-2024-0000015,VND-000272,,CTR-2021-000952,PRJ-2022-00541,SERVICE,PAID,2024-12-19,2025-01-18,7425.11,0.15,1113.77,0.0,0.0,8538.88,SAR,NET15,0.0,2025-01-10,8538.88,EMP-000712,2024-12-30,INV-REF-QF834NI,Rich think office drug.,2024-12-19
INV-2021-0000016,VND-000124,PO-2023-0000022,,PRJ-2024-00254,SERVICE,PAID,2021-10-11,2021-11-10,42470.66,0.15,6370.6,0.0,0.0,48841.26,SAR,IMMEDIATE,849.41,2021-10-14,47991.85,EMP-000397,2021-10-23,INV-REF-GG763QB,Interest level rock pull worker better.,2021-10-11
INV-2024-0000017,VND-000033,PO-2024-0000073,,PRJ-2021-00881,MATERIAL,SUBMITTED,2024-05-01,2024-06-15,21606.58,0.15,3240.99,0.0,0.0,24847.57,SAR,NET15,0.0,,,,,INV-REF-PM651MI,Cell contain leg themselves away space task.,2024-05-01
INV-2023-0000018,VND-000585,PO-2023-0000249,,PRJ-2022-00591,MATERIAL,ON_HOLD,2023-07-28,2023-08-27,158161.35,0.05,7908.07,0.0,0.0,166069.42,SAR,NET30,0.0,,,,,INV-REF-AF108WP,Image loss ten total.,2023-07-28
INV-2022-0000019,VND-000885,PO-2024-0000690,,PRJ-2019-00747,MATERIAL,APPROVED,2022-11-27,2022-12-12,25284.93,0.15,3792.74,0.0,0.0,29077.67,SAR,NET30,0.0,,,EMP-000085,2022-12-03,INV-REF-YQ260YY,Expect recent room situation product main couple.,2022-11-27
