material_id,material_code,material_name,material_level,parent_material_id,category,sub_category,unit_of_measure,unit_price,currency,lead_time_days,hazardous,requires_inspection,strategic_item,local_content,weight_kg,unspsc_code,min_stock_level,max_stock_level,reorder_point,reorder_quantity,shelf_life_days,manufacturer,brand,country_of_origin,active,created_date
MAT-00000001,STL-ANG-00001,Angles - Ago 833,ITEM,,STRUCTURAL_STEEL,Angles,KG,1058.03,EUR,103,False,False,False,False,158.92,30100021,121,726,185,148,,Wilson Ltd,Ltd Performance,South Korea,True,2020-03-25
MAT-00000002,PIP-CAR-00002,Carbon Steel - Aliquid 847,ITEM,,PIPES,Carbon Steel,RM,1402.32,USD,49,False,True,False,True,1899.64,40140055,443,3544,752,1526,,Robinson PLC,PLC Sense,Italy,True,2018-06-27
MAT-00000003,VLV-REL-00003,Relief - Est 489,ASSEMBLY,,VALVES,Relief,SET,41487.29,EUR,126,False,False,False,True,,40140139,405,2835,445,1358,,"White, Taylor and Reed",Ltd Laboriosam,Japan,True,2019-02-18
MAT-00000004,CON-GRO-00004,Grout - Dolor 941,COMPONENT,,CONCRETE,Grout,CUM,361.47,EUR,5,False,False,False,False,817.02,30110058,148,888,231,205,,Garcia-James,LLC Aperiam,China,True,2020-07-27
MAT-00000005,STL-REB-00005,Rebar - Quidem 470,ITEM,,STRUCTURAL_STEEL,Rebar,MT,1031.57,USD,116,False,False,False,True,1233.15,30100081,285,1995,504,1480,,Miller-Carter,PLC Sea,India,False,2022-06-24
MAT-00000006,INS-TRA-00006,Transmitters - Answer 798,PRODUCT,,INSTRUMENTS,Transmitters,NOS,12396.74,USD,103,False,False,True,True,,41110069,280,1960,285,1673,,Galloway-Wyatt,Group Odit,South Korea,True,2019-04-15
MAT-00000007,VLV-CHE-00007,Check - Dolorem 723,ITEM,MAT-00000006,VALVES,Check,NOS,22740.81,SAR,113,False,False,False,False,,40140123,455,3185,885,3072,,Kelly-Phillips,PLC None,India,True,2023-09-11
MAT-00000008,INS-ANA-00008,Analyzers - Common 935,ITEM,MAT-00000006,INSTRUMENTS,Analyzers,SET,39190.74,USD,83,False,False,False,True,,41110017,133,532,154,507,,Dixon-Bennett,Ltd Aspernatur,USA,False,2023-06-14
MAT-00000009,CON-ADM-00009,Admixtures - Term 223,ITEM,MAT-00000006,CONCRETE,Admixtures,BAG,301.62,EUR,6,False,False,False,False,3564.75,30110061,353,2824,577,2472,,Morales-Jones,and Sons Nam,India,True,2023-01-24
MAT-00000010,CIV-GRA-00010,Gravel - Dicta 840,ITEM,MAT-00000006,CIVIL,Gravel,CUM,18.84,EUR,13,False,True,True,True,,30100075,131,917,255,350,,Smith PLC,Ltd Reprehenderit,France,True,2019-06-26
MAT-00000011,ELE-PAN-00011,Panels - Magni 919,ITEM,MAT-00000006,ELECTRICAL,Panels,RM,9702.11,USD,43,False,False,False,True,,26100093,340,1360,371,752,,Hicks Inc,Inc Product,USA,True,2021-10-21
MAT-00000012,ELE-PAN-00012,Panels - Structure 516,PRODUCT,,ELECTRICAL,Panels,RM,27861.73,USD,59,False,True,False,False,,26100022,35,105,40,65,,"Collins, Palmer and Turner",PLC Response,Italy,True,2019-11-13
MAT-00000013,EQP-EXC-00013,Excavator - Rest 322,COMPONENT,MAT-00000012,EQUIPMENT,Excavator,NOS,492661.77,USD,220,False,False,False,False,3652.53,22100081,348,3480,427,1125,,"Cook, Harris and Steele",Ltd Provident,China,True,2021-04-30
MAT-00000014,SAF-PPE-00014,PPE - Movement 222,ITEM,MAT-00000006,SAFETY,PPE,BOX,956.19,SAR,18,False,True,False,True,,46180033,45,180,88,105,,"Evans, Fowler and Lynch",LLC Notice,France,True,2022-07-12
MAT-00000015,CIV-GEO-00015,Geotextile - Place 175,ITEM,MAT-00000012,CIVIL,Geotextile,MT,44.83,EUR,13,False,True,True,False,,30100068,171,684,173,640,,Brown-Murray,and Sons Effect,South Korea,True,2019-02-14
MAT-00000016,FUE-DIE-00016,Diesel - Bed 370,ITEM,MAT-00000006,FUEL,Diesel,GAL,57.71,USD,9,False,False,False,False,,15100011,351,2457,690,775,502.0,Stewart PLC,and Sons Quo,USA,True,2019-07-05
MAT-00000017,PIP-STA-00017,Stainless Steel - Evidence 889,PRODUCT,,PIPES,Stainless Steel,JOINT,423.12,EUR,56,False,False,False,False,254.0,40140091,226,1582,237,233,,Murray Ltd,Ltd Natus,Germany,True,2021-09-28
MAT-00000018,SAF-GAS-00018,Gas Detector - Nulla 915,ITEM,MAT-00000017,SAFETY,Gas Detector,SET,1124.01,USD,12,False,False,False,False,,46180028,230,1150,240,545,,Smith Inc,Inc Per,China,True,2022-02-02
MAT-00000019,PIP-CAR-00019,Carbon Steel - Account 373,ITEM,MAT-00000012,PIPES,Carbon Steel,JOINT,1948.2,EUR,55,False,False,False,False,4407.08,40140013,101,808,201,522,,"Welch, Perez and Whitehead",Inc Family,Germany,True,2020-10-13
