line_id,po_id,line_number,material_id,description,unit_of_measure,qty_ordered,qty_received,qty_accepted,unit_price,line_value,discount_pct,tax_rate,delivery_date,actual_delivery_date,inspection_passed,warehouse_location,notes,created_date
PO-2024-0000655-L001,PO-2024-0000655,1,MAT-00000026,Agent every development say.,BAG,380,114,17,435.91,165645.8,0,0.15,2023-10-17,2023-11-10,1.0,WH-A-02,Beautiful instead ahead despite measure ago current.,2023-10-17
PO-2024-0000655-L002,PO-2024-0000655,2,MAT-00000239,Information last everything thank serve civil institution.,SET,259,101,91,52837.85,13685003.15,0,0.15,2023-01-21,2023-02-06,1.0,WH-C-01,,2023-01-21
PO-2024-0000655-L003,PO-2024-0000655,3,MAT-00000164,Choice whatever from behavior benefit.,SET,358,142,39,19257.46,6894170.68,0,0.0,2024-04-12,2024-04-23,1.0,WH-D-07,,2024-04-12
PO-2024-0000655-L004,PO-2024-0000655,4,MAT-00000353,Page southern role movie win her.,NOS,310,22,14,88887.24,27555044.4,5,0.1,2022-02-14,2022-02-09,1.0,WH-C-37,,2022-02-14
PO-2024-0000072-L001,PO-2024-0000072,1,MAT-00000678,Fall pick those gun court attorney product.,RM,117,10,3,35821.85,4191156.45,2,0.1,2022-02-17,2022-02-24,1.0,WH-B-24,,2022-02-17
PO-2024-0000072-L002,PO-2024-0000072,2,MAT-00000687,World talk term herself law.,RM,137,18,5,172.27,23600.99,2,0.15,2021-05-16,2021-05-16,1.0,WH-C-41,,2021-05-16
PO-2020-0000225-L001,PO-2020-0000225,1,MAT-00000864,Class great prove reduce raise author.,NOS,394,117,105,354344.11,139611579.34,0,0.0,2021-10-08,2021-10-23,1.0,WH-B-37,,2021-10-08
PO-2020-0000225-L002,PO-2020-0000225,2,MAT-00000323,Move each left establish.,CUM,109,50,41,395.6,43120.4,0,0.1,2021-06-26,2021-06-24,1.0,WH-D-38,,2021-06-26
PO-2020-0000225-L003,PO-2020-0000225,3,MAT-00000225,Detail food shoulder argue start source husband.,BAG,71,11,0,278.32,19760.72,0,0.15,2020-11-09,2020-12-09,1.0,WH-A-25,,2020-11-09
PO-2020-0000225-L004,PO-2020-0000225,4,MAT-00000480,Decision wall then fire.,NOS,271,5,5,189500.22,51354559.62,0,0.1,2023-10-28,2023-11-21,1.0,WH-A-19,,2023-10-28
PO-2020-0000225-L005,PO-2020-0000225,5,MAT-00000465,How trip learn enter east no enjoy.,NOS,2,2,1,1179.59,2359.18,5,0.0,2024-04-09,2024-04-10,0.0,WH-C-41,,2024-04-09
PO-2020-0000225-L006,PO-2020-0000225,6,MAT-00000204,Investment on gun young catch management sense technology.,MT,79,20,17,1804.54,142558.66,5,0.1,2022-12-22,2022-12-12,0.0,WH-D-02,Physical society instead as.,2022-12-22
PO-2020-0000225-L007,PO-2020-0000225,7,MAT-00000372,Other life edge network wall quite.,NOS,450,413,157,2178.21,980194.5,0,0.0,2021-05-08,2021-06-03,1.0,WH-D-05,,2021-05-08
PO-2020-0000225-L008,PO-2020-0000225,8,MAT-00000546,Race Mr environment political.,SQM,393,337,243,32.5,12772.5,5,0.15,2020-12-04,2020-12-10,0.0,WH-B-35,,2020-12-04
