transaction_id,project_id,vendor_id,po_id,contract_id,invoice_id,wbs_code,cost_type,cost_status,budget_amount,actual_amount,variance,currency,transaction_date,posting_date,fiscal_period,change_order_flag,change_order_ref,description,created_date
TXN-2024-00000001,PRJ-2024-00115,VND-000026,,CTR-2023-000914,,3.01,MATERIAL,COMMITTED,76501.93,82062.34,5560.41,SAR,2024-10-29,,2024-01,False,,Agent every development.,2024-10-29
TXN-2020-00000002,PRJ-2019-00518,VND-000617,PO-2020-0000285,,INV-2024-0000829,7.02,LABOUR,POSTED,29513.51,36438.86,6925.35,SAR,2020-03-22,2020-03-22,2020-06,False,,Quality throughout beautiful.,2020-03-22
TXN-2020-00000003,PRJ-2023-00981,VND-000782,,CTR-2020-000619,INV-2019-0000271,2.03,LABOUR,POSTED,95945.23,115476.24,19531.01,SAR,2020-08-23,2020-08-23,2020-07,False,,All behavior discussion own night.,2020-08-23
TXN-2021-00000004,PRJ-2024-00850,VND-000644,PO-2020-0000234,,,4.01,OVERHEAD,ACCRUED,356662.34,423192.05,66529.71,SAR,2021-02-10,,2021-02,False,,Information last everything thank serve civil.,2021-02-10
TXN-2022-00000005,PRJ-2022-00651,VND-000855,,CTR-2024-000700,INV-2024-0000664,4.03,MATERIAL,POSTED,25559.64,21360.22,-4199.42,SAR,2022-11-22,2022-11-22,2022-12,False,,Future choice whatever from behavior.,2022-11-22
TXN-2022-00000006,PRJ-2023-00389,VND-000277,,CTR-2022-000795,,4.03,SUBCONTRACT,FORECAST,25560.27,21163.11,-4397.16,SAR,2022-01-17,,2022-07,False,,Grow gas enough.,2022-01-17
TXN-2020-00000007,PRJ-2020-00936,VND-000966,PO-2023-0000937,,,4.04,SUBCONTRACT,ACCRUED,388022.74,435138.76,47116.02,USD,2020-03-14,,2020-04,False,,Role movie win.,2020-03-14
TXN-2023-00000008,PRJ-2019-00270,VND-000765,PO-2020-0000142,,,7.03,FREIGHT,ACCRUED,114823.57,121111.67,6288.1,SAR,2023-02-16,,2023-02,False,,Bad fall pick those gun.,2023-02-16
TXN-2020-00000009,PRJ-2020-00812,VND-000697,,CTR-2023-000542,,7.05,LABOUR,ACCRUED,17957.95,16623.8,-1334.15,USD,2020-10-10,,2020-01,False,,Relate animal direction eye.,2020-10-10
TXN-2019-00000010,PRJ-2020-00699,VND-000907,PO-2024-0000162,,,6.01,MATERIAL,ACCRUED,81947.99,84149.26,2201.27,SAR,2019-05-15,,2019-03,False,,Talk term herself.,2019-05-15
TXN-2019-00000011,PRJ-2019-00892,VND-000641,PO-2019-0000166,,INV-2025-0000553,4.02,SUBCONTRACT,POSTED,18121.85,23137.07,5015.22,SAR,2019-09-29,2019-09-29,2019-10,False,,Player half have decide environment.,2019-09-29
TXN-2019-00000012,PRJ-2024-00115,VND-000952,PO-2021-0000900,,INV-2025-0000581,5.02,INSURANCE,POSTED,18059.11,22997.82,4938.71,EUR,2019-02-13,2019-02-13,2019-02,False,,Participant commercial rock.,2019-02-13
TXN-2023-00000013,PRJ-2024-00785,VND-000129,,CTR-2020-000622,INV-2022-0000434,3.03,MATERIAL,POSTED,52205.51,66936.94,14731.43,SAR,2023-10-04,2023-10-04,2023-12,False,,Left establish understand read.,2023-10-04
TXN-2021-00000014,PRJ-2022-00409,VND-000688,PO-2023-0000066,,,8.01,MATERIAL,ACCRUED,2059.21,1995.46,-63.75,SAR,2021-10-29,,2021-10,False,,Range successful simply director.,2021-10-29
TXN-2019-00000015,PRJ-2019-00725,VND-000647,PO-2021-0000244,,INV-2022-0000286,1.03,LABOUR,POSTED,2731.55,3098.91,367.36,EUR,2019-04-20,2019-04-20,2019-12,False,,Source husband at.,2019-04-20
TXN-2023-00000016,PRJ-2022-00591,VND-000485,PO-2020-0000675,,INV-2020-0000442,7.02,MATERIAL,POSTED,15624.08,15267.05,-357.03,SAR,2023-07-30,2023-07-30,2023-12,False,,Then fire pretty how trip learn.,2023-07-30
TXN-2024-00000017,PRJ-2020-00662,VND-000101,PO-2019-0000550,,INV-2022-0000460,2.02,SUBCONTRACT,POSTED,7948.62,6916.02,-1032.6,USD,2024-04-03,2024-04-03,2024-04,False,,Cause seat much section.,2024-04-03
TXN-2019-00000018,PRJ-2022-00454,VND-000828,,CTR-2020-000993,,1.05,EQUIPMENT,FORECAST,58184.31,49260.66,-8923.65,SAR,2019-05-02,,2019-08,False,,Today human despite young meeting.,2019-05-02
TXN-2025-00000019,PRJ-2022-00411,VND-000925,,CTR-2020-000804,INV-2023-0000466,7.03,MATERIAL,POSTED,9301.81,8768.12,-533.69,USD,2025-12-23,2025-12-23,2025-09,False,,Sense technology check.,2025-12-23
TXN-2022-00000020,PRJ-2022-00159,VND-000195,PO-2023-0000599,,INV-2024-0000489,1.03,INSURANCE,POSTED,4365.75,4590.26,224.51,SAR,2022-09-29,2022-09-29,2022-09,False,,Society instead as high.,2022-09-29
TXN-2020-00000021,PRJ-2022-00071,VND-000610,,CTR-2020-000584,INV-2022-0000253,7.01,OVERHEAD,POSTED,327247.86,356523.3,29275.44,USD,2020-01-21,2020-01-21,2020-07,False,,More wife team activity result.,2020-01-21
TXN-2023-00000022,PRJ-2022-00536,VND-000324,PO-2023-0000135,,,6.02,MATERIAL,FORECAST,25882.84,29398.9,3516.06,SAR,2023-06-03,,2023-02,False,,Seem shoulder future fall citizen about.,2023-06-03
