budget_id,project_id,wbs_code,cost_type,budget_version,budget_status,original_amount,revised_amount,contingency_pct,contingency_amount,committed_amount,actual_spent,remaining_budget,currency,period_start,period_end,budget_owner_id,approval_date,notes,created_date
BDG-PRJ-2021-00655-02.01-REV2,PRJ-2021-00655,2.01,MATERIAL,REV2,SUBMITTED,342857.86,393006.68,0.0602,0.0,246501.62,196029.49,196977.19,SAR,2019-01-01,2019-05-18,EMP-000857,,,2018-11-15
BDG-PRJ-2020-00204-07.02-REV1,PRJ-2020-00204,7.02,MATERIAL,REV1,CLOSED,132270.39,120877.11,0.1259,0.0,66913.78,42753.6,78123.51,SAR,2020-06-01,2020-10-21,EMP-000175,2020-05-14,,2020-04-13
BDG-PRJ-2023-00271-01.04-REV1,PRJ-2023-00271,1.04,CONTINGENCY,REV1,APPROVED,429996.7,508153.7,0.1052,45235.65,341027.97,317447.06,190706.64,SAR,2023-04-01,2023-08-04,EMP-000427,2023-03-16,,2023-02-03
BDG-PRJ-2019-00239-02.04-ORIGINAL,PRJ-2019-00239,2.04,EQUIPMENT,ORIGINAL,APPROVED,1598449.71,1598449.71,0.087,0.0,680466.78,431068.16,1167381.55,USD,2024-11-01,2025-03-07,EMP-000303,2024-10-08,,2024-09-27
BDG-PRJ-2023-00474-07.03-REV3,PRJ-2023-00474,7.03,EQUIPMENT,REV3,ACTIVE,114550.37,135987.41,0.1185,0.0,104111.95,63979.3,72008.11,SAR,2019-06-01,2020-03-22,EMP-000399,2019-05-07,,2019-04-22
BDG-PRJ-2024-00218-08.04-REV2,PRJ-2024-00218,8.04,EQUIPMENT,REV2,SUBMITTED,114553.19,131506.56,0.064,0.0,81979.4,71609.57,59896.99,SAR,2022-10-01,2023-07-22,EMP-000234,,,2022-08-30
BDG-PRJ-2022-00774-01.01-ORIGINAL,PRJ-2022-00774,1.01,LABOUR,ORIGINAL,ACTIVE,1738997.27,1738997.27,0.1096,0.0,923164.76,736633.98,1002363.29,EUR,2022-09-01,2023-04-07,EMP-000014,2022-08-04,,2022-07-12
BDG-PRJ-2023-00907-05.03-ORIGINAL,PRJ-2023-00907,5.03,MATERIAL,ORIGINAL,ACTIVE,514603.56,514603.56,0.1454,0.0,424811.29,268350.97,246252.59,EUR,2023-03-01,2024-02-13,EMP-000525,2023-02-02,,2023-01-24
BDG-PRJ-2020-00157-06.02-REV1,PRJ-2020-00157,6.02,SUBCONTRACT,REV1,ACTIVE,80481.97,78845.16,0.0501,0.0,24574.94,23703.74,55141.42,SAR,2025-05-01,2025-11-29,EMP-000965,2025-04-22,Agent every development.,2025-03-17
BDG-PRJ-2019-00836-02.05-REV2,PRJ-2019-00836,2.05,LABOUR,REV2,ACTIVE,367265.41,351114.05,0.105,0.0,289128.31,205734.73,145379.32,USD,2020-09-01,2021-03-12,EMP-000669,2020-08-04,,2020-07-19
BDG-PRJ-2020-00922-08.01-ORIGINAL,PRJ-2020-00922,8.01,LABOUR,ORIGINAL,DRAFT,81216.48,81216.48,0.1054,0.0,53039.56,26710.48,54506.0,SAR,2024-11-01,2025-03-01,EMP-000073,,,2024-09-30
