performance_id,vendor_id,project_id,evaluation_period,evaluator_id,delivery_score,quality_score,commercial_score,hse_score,composite_score,recommendation,delivery_metric_focus,quality_metric_focus,commercial_metric_focus,hse_metric_focus,po_count_evaluated,total_value_evaluated,corrective_actions,improvement_trend,evaluation_date,remarks,created_date
PERF-VND-000655-202003,VND-000655,PRJ-2022-00026,202003,EMP-000831,79.45,67.79,77.07,94.8,78.55,APPROVED,DELIVERY_COMPLETENESS,FIRST_PASS_YIELD,INVOICE_ACCURACY,NEAR_MISS_REPORTING,24,45207.39,0,DECLINING,2020-03-04,,2020-03-04
PERF-VND-000559-201912,VND-000559,PRJ-2022-00605,201912,EMP-000512,68.49,95.27,78.74,68.9,78.66,APPROVED,ON_TIME_DELIVERY_RATE,DEFECT_RATE,PRICE_COMPETITIVENESS,NEAR_MISS_REPORTING,8,114814.38,0,DECLINING,2019-12-17,Agent every development.,2019-12-17
PERF-VND-000204-202512,VND-000204,PRJ-2020-00719,202512,EMP-000638,65.05,62.55,71.39,50.13,62.58,APPROVED,DOCUMENTATION_ACCURACY,FIRST_PASS_YIELD,CHANGE_ORDER_FREQUENCY,HSE_COMPLIANCE,1,7556.01,0,IMPROVING,2025-12-25,,2025-12-25
PERF-VND-000349-202112,VND-000349,PRJ-2023-00160,202112,EMP-000259,63.57,53.79,72.4,63.2,62.33,APPROVED,DELIVERY_COMPLETENESS,DEFECT_RATE,PRICE_COMPETITIVENESS,SAFETY_AUDIT_SCORE,4,10995.44,0,STABLE,2021-12-12,,2021-12-12
PERF-VND-000827-201906,VND-000827,PRJ-2020-00748,201906,EMP-000547,93.98,66.39,68.95,56.48,73.2,APPROVED,SCHEDULE_ADHERENCE,DEFECT_RATE,CHANGE_ORDER_FREQUENCY,INCIDENT_RATE,18,31155.33,0,DECLINING,2019-06-10,,2019-06-10
PERF-VND-000883-202211,VND-000883,PRJ-2022-00592,202211,EMP-000219,73.66,51.58,73.26,67.19,65.66,APPROVED,ON_TIME_DELIVERY_RATE,DEFECT_RATE,INVOICE_ACCURACY,HSE_COMPLIANCE,3,42191.22,0,IMPROVING,2022-11-28,,2022-11-28
PERF-VND-000390-202112,VND-000390,PRJ-2020-00465,202112,EMP-000733,62.97,99.64,67.81,61.25,74.59,APPROVED,DELIVERY_COMPLETENESS,FIRST_PASS_YIELD,PAYMENT_TERMS_COMPLIANCE,HSE_COMPLIANCE,7,160661.33,0,STABLE,2021-12-22,,2021-12-22
PERF-VND-000700-202511,VND-000700,PRJ-2023-00074,202511,EMP-000691,53.69,73.34,40.56,57.73,57.77,CONDITIONAL,LEAD_TIME_VARIANCE,SPECIFICATION_COMPLIANCE,INVOICE_ACCURACY,NEAR_MISS_REPORTING,15,75828.8,2,DECLINING,2025-11-13,,2025-11-13
PERF-VND-000225-202206,VND-000225,PRJ-2022-00864,202206,EMP-000866,83.08,72.74,66.38,71.09,74.24,APPROVED,ON_TIME_DELIVERY_RATE,FIRST_PASS_YIELD,PRICE_COMPETITIVENESS,HSE_COMPLIANCE,13,10155.53,0,IMPROVING,2022-06-09,,2022-06-09
PERF-VND-000966-202501,VND-000966,PRJ-2022-00898,202501,EMP-000813,61.2,62.63,82.8,79.47,69.6,APPROVED,DELIVERY_COMPLETENESS,FIRST_PASS_YIELD,CHANGE_ORDER_FREQUENCY,SAFETY_AUDIT_SCORE,21,7218.13,0,IMPROVING,2025-01-15,,2025-01-15
PERF-VND-000253-202412,VND-000253,PRJ-2024-00552,202412,EMP-000335,76.86,63.84,58.52,82.95,70.5,APPROVED,SCHEDULE_ADHERENCE,REWORK_RATE,CHANGE_ORDER_FREQUENCY,HSE_COMPLIANCE,8,206323.26,0,DECLINING,2024-12-05,,2024-12-05
PERF-VND-000774-201907,VND-000774,PRJ-2020-00882,201907,EMP-000118,85.97,56.57,63.67,79.31,71.36,APPROVED,LEAD_TIME_VARIANCE,FIRST_PASS_YIELD,CHANGE_ORDER_FREQUENCY,INCIDENT_RATE,13,193040.28,0,DECLINING,2019-07-13,,2019-07-13
PERF-VND-000542-202109,VND-000542,PRJ-2022-00995,202109,EMP-000643,64.81,67.03,52.51,59.45,61.94,APPROVED,ON_TIME_DELIVERY_RATE,DEFECT_RATE,PAYMENT_TERMS_COMPLIANCE,HSE_COMPLIANCE,4,158741.28,0,STABLE,2021-09-10,,2021-09-10
PERF-VND-000004-202110,VND-000004,PRJ-2020-00996,202110,EMP-000595,92.34,68.85,82.05,79.7,80.71,PREFERRED,LEAD_TIME_VARIANCE,SPECIFICATION_COMPLIANCE,PRICE_COMPETITIVENESS,HSE_COMPLIANCE,21,27607.87,0,DECLINING,2021-10-17,,2021-10-17
PERF-VND-000383-202009,VND-000383,PRJ-2022-00553,202009,EMP-000883,77.42,94.61,67.5,95.34,84.18,PREFERRED,SCHEDULE_ADHERENCE,DEFECT_RATE,PAYMENT_TERMS_COMPLIANCE,SAFETY_AUDIT_SCORE,1,2581.96,0,STABLE,2020-09-04,,2020-09-04
PERF-VND-000852-202204,VND-000852,PRJ-2023-00246,202204,EMP-000061,84.33,71.39,63.81,76.19,74.72,APPROVED,LEAD_TIME_VARIANCE,SPECIFICATION_COMPLIANCE,PRICE_COMPETITIVENESS,INCIDENT_RATE,24,5513.29,0,IMPROVING,2022-04-16,,2022-04-16
PERF-VND-000546-202005,VND-000546,PRJ-2019-00132,202005,EMP-000752,68.7,75.71,88.69,68.26,74.71,APPROVED,DOCUMENTATION_ACCURACY,SPECIFICATION_COMPLIANCE,INVOICE_ACCURACY,HSE_COMPLIANCE,17,22692.91,0,DECLINING,2020-05-28,,2020-05-28
PERF-VND-000217-202410,VND-000217,PRJ-2022-00774,202410,EMP-000823,64.47,84.65,72.6,68.11,72.88,APPROVED,LEAD_TIME_VARIANCE,NCR_COUNT,CHANGE_ORDER_FREQUENCY,HSE_COMPLIANCE,15,110848.64,0,STABLE,2024-10-17,,2024-10-17
PERF-VND-000231-201909,VND-000231,PRJ-2024-00347,201909,EMP-000018,73.46,85.5,58.17,70.74,73.47,APPROVED,SCHEDULE_ADHERENCE,SPECIFICATION_COMPLIANCE,INVOICE_ACCURACY,NEAR_MISS_REPORTING,1,37401.65,0,DECLINING,2019-09-03,,2019-09-03
PERF-VND-000235-201909,VND-000235,PRJ-2019-00928,201909,EMP-000031,50.05,74.74,71.65,75.07,66.78,APPROVED,DELIVERY_COMPLETENESS,DEFECT_RATE,INVOICE_ACCURACY,HSE_COMPLIANCE,22,45183.87,0,IMPROVING,2019-09-16,,2019-09-16
PERF-VND-000741-202502,VND-000741,PRJ-2022-00591,202502,EMP-000565,50.77,63.27,63.2,64.57,59.77,CONDITIONAL,LEAD_TIME_VARIANCE,REWORK_RATE,CHANGE_ORDER_FREQUENCY,NEAR_MISS_REPORTING,4,49338.36,3,STABLE,2025-02-04,,2025-02-04
PERF-VND-000479-201907,VND-000479,PRJ-2024-00690,201907,EMP-000748,78.06,100.0,70.44,78.35,83.18,PREFERRED,ON_TIME_DELIVERY_RATE,DEFECT_RATE,CHANGE_ORDER_FREQUENCY,HSE_COMPLIANCE,4,54757.24,0,IMPROVING,2019-07-08,,2019-07-08
PERF-VND-000460-202006,VND-000460,PRJ-2024-00433,202006,EMP-000210,43.22,69.58,68.84,100.0,67.61,APPROVED,DELIVERY_COMPLETENESS,REWORK_RATE,INVOICE_ACCURACY,INCIDENT_RATE,15,47532.4,0,DECLINING,2020-06-26,Quality throughout beautiful.,2020-06-26
PERF-VND-000668-202410,VND-000668,PRJ-2022-00857,202410,EMP-000014,76.52,69.44,51.64,89.86,72.09,APPROVED,ON_TIME_DELIVERY_RATE,FIRST_PASS_YIELD,INVOICE_ACCURACY,SAFETY_AUDIT_SCORE,16,147608.63,0,IMPROVING,2024-10-16,,2024-10-16
PERF-VND-000925-201908,VND-000925,PRJ-2021-00169,201908,EMP-000469,83.87,55.45,87.64,56.78,70.68,APPROVED,ON_TIME_DELIVERY_RATE,REWORK_RATE,PAYMENT_TERMS_COMPLIANCE,SAFETY_AUDIT_SCORE,10,121082.63,0,DECLINING,2019-08-14,,2019-08-14
PERF-VND-000803-202412,VND-000803,PRJ-2020-00678,202412,EMP-000813,100.0,54.15,60.07,76.3,73.52,APPROVED,DOCUMENTATION_ACCURACY,FIRST_PASS_YIELD,INVOICE_ACCURACY,HSE_COMPLIANCE,7,32722.86,0,DECLINING,2024-12-02,,2024-12-02
PERF-VND-000063-202205,VND-000063,PRJ-2021-00059,202205,EMP-000054,48.74,71.1,53.13,81.16,62.81,APPROVED,SCHEDULE_ADHERENCE,REWORK_RATE,INVOICE_ACCURACY,INCIDENT_RATE,17,19864.53,0,IMPROVING,2022-05-03,All behavior discussion own night.,2022-05-03
PERF-VND-000070-202107,VND-000070,PRJ-2024-00414,202107,EMP-000127,95.25,57.47,63.49,85.58,75.63,APPROVED,SCHEDULE_ADHERENCE,FIRST_PASS_YIELD,PRICE_COMPETITIVENESS,INCIDENT_RATE,14,13670.05,0,DECLINING,2021-07-22,,2021-07-22
PERF-VND-000324-202110,VND-000324,PRJ-2023-00210,202110,EMP-000761,75.41,90.91,45.5,77.4,74.48,APPROVED,DELIVERY_COMPLETENESS,FIRST_PASS_YIELD,PAYMENT_TERMS_COMPLIANCE,SAFETY_AUDIT_SCORE,5,81785.84,0,DECLINING,2021-10-22,,2021-10-22
PERF-VND-000324-201910,VND-000324,PRJ-2020-00010,201910,EMP-000545,83.73,50.21,49.51,81.79,66.44,APPROVED,SCHEDULE_ADHERENCE,SPECIFICATION_COMPLIANCE,PRICE_COMPETITIVENESS,INCIDENT_RATE,18,85509.4,0,DECLINING,2019-10-07,,2019-10-07
PERF-VND-000956-202209,VND-000956,PRJ-2020-00903,202209,EMP-000075,75.76,75.54,58.48,78.02,72.69,APPROVED,LEAD_TIME_VARIANCE,NCR_COUNT,PAYMENT_TERMS_COMPLIANCE,NEAR_MISS_REPORTING,15,85108.91,0,DECLINING,2022-09-27,,2022-09-27
PERF-VND-000627-202512,VND-000627,PRJ-2021-00542,202512,EMP-000008,61.28,99.85,74.63,59.51,75.17,APPROVED,SCHEDULE_ADHERENCE,NCR_COUNT,PRICE_COMPETITIVENESS,NEAR_MISS_REPORTING,9,131645.02,0,IMPROVING,2025-12-04,,2025-12-04
PERF-VND-000160-202111,VND-000160,PRJ-2024-00289,202111,EMP-000688,57.38,82.59,84.22,64.33,71.7,APPROVED,LEAD_TIME_VARIANCE,NCR_COUNT,INVOICE_ACCURACY,HSE_COMPLIANCE,17,190241.83,0,STABLE,2021-11-16,,2021-11-16
PERF-VND-000867-201907,VND-000867,PRJ-2020-00095,201907,EMP-000729,78.19,83.15,94.56,71.81,81.68,PREFERRED,DOCUMENTATION_ACCURACY,NCR_COUNT,PRICE_COMPETITIVENESS,INCIDENT_RATE,11,24234.11,0,IMPROVING,2019-07-25,,2019-07-25
PERF-VND-000269-202009,VND-000269,PRJ-2019-00760,202009,EMP-000529,58.66,56.95,66.92,79.43,63.95,APPROVED,SCHEDULE_ADHERENCE,REWORK_RATE,PRICE_COMPETITIVENESS,INCIDENT_RATE,3,83452.17,0,IMPROVING,2020-09-23,,2020-09-23
PERF-VND-000855-202212,VND-000855,PRJ-2020-00597,202212,EMP-000642,84.41,70.21,88.35,71.56,78.37,APPROVED,LEAD_TIME_VARIANCE,REWORK_RATE,INVOICE_ACCURACY,INCIDENT_RATE,10,1566262.87,0,IMPROVING,2022-12-12,,2022-12-12
PERF-VND-000216-202108,VND-000216,PRJ-2020-00683,202108,EMP-000109,81.39,56.29,53.01,81.27,68.16,APPROVED,DELIVERY_COMPLETENESS,SPECIFICATION_COMPLIANCE,CHANGE_ORDER_FREQUENCY,NEAR_MISS_REPORTING,8,45791.08,0,IMPROVING,2021-08-28,,2021-08-28
PERF-VND-000831-202011,VND-000831,PRJ-2020-00903,202011,EMP-000497,82.71,77.57,66.98,63.99,74.28,APPROVED,ON_TIME_DELIVERY_RATE,FIRST_PASS_YIELD,PAYMENT_TERMS_COMPLIANCE,SAFETY_AUDIT_SCORE,22,9722.36,0,DECLINING,2020-11-28,,2020-11-28
